name,issn
Strategic Management Journal,0143-2095
Management Science,0025-1909
Information Systems Research,1047-7047
Academy of Management Journal,0001-4273
Research Policy,0048-7333
Academy of Management Review,0363-7425
Administrative Science Quarterly,0001-8392
Journal of International Business Studies,0047-2506
MIS Quarterly,0276-7783
Organization Science,1047-7039
Journal of Management,0149-2063
Journal of Management Studies,0022-2380
Harvard Business Review,0017-8012
Entrepreneurship Theory and Practice,1042-2587
Journal of Business Venturing,0883-9026
Strategic Entrepreneurship Journal,1932-4391
Management and Organization Review,1740-8776
Journal of World Business,1090-9516
Academy of Management Annals,1941-6067
Journal of Management Information Systems,0742-1222
Journal of Product Innovation Management,0737-6782
Technovation,0166-4972
Global Strategy Journal,2042-5791
